Entity ID,Plant ID,Sector,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Planned Operation Month,Planned Operation Year,Status,Latitude,Longitude
803,57561,Electric Utility,17.0,17.0,17.0,Batteries,12,2022,V,33.034722,-112.661700
803,57562,Electric Utility,17.0,17.0,17.0,Batteries,12,2022,V,33.021111,-112.661400
803,57563,Electric Utility,16.0,16.0,16.0,Batteries,12,2022,V,33.025660,-113.344000
803,57997,Electric Utility,38.0,38.0,38.0,Batteries,12,2022,V,32.648560,-114.428700
803,58383,Electric Utility,14.0,14.0,14.0,Batteries,12,2022,V,33.027000,-113.348900
803,59020,Electric Utility,36.0,36.0,36.0,Batteries,12,2022,V,32.940833,-112.881400
803,59444,Electric Utility,10.0,10.0,10.0,Batteries,12,2022,V,33.145000,-112.660000
61298,59997,IPP Non-CHP,16.0,16.0,16.0,Solar Photovoltaic,12,2022,U,35.396478,-81.219140
61298,60002,IPP Non-CHP,20.0,20.0,20.0,Solar Photovoltaic,12,2022,L,35.964202,-78.098070
60816,61186,Commercial CHP,1.0,1.0,1.0,Batteries,12,2022,U,42.334651,-71.074170
61768,62248,IPP Non-CHP,200.0,200.0,200.0,Solar Photovoltaic,12,2022,TS,36.459259,-114.844400
59474,62737,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,12,2022,TS,42.442927,-78.632140
59474,62738,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,12,2022,TS,42.443632,-78.632130
64084,64507,IPP Non-CHP,100.0,100.0,100.0,Solar Photovoltaic,12,2022,U,36.386380,-88.991940
64362,64841,IPP Non-CHP,165.0,165.0,165.0,Solar Photovoltaic,12,2022,V,31.886486,-84.021590
64505,65107,IPP Non-CHP,70.2,70.2,70.2,Solar Photovoltaic,12,2022,V,35.336040,-79.741700
64655,65335,IPP Non-CHP,171.8,171.8,171.8,Onshore Wind Turbine,12,2022,V,31.157269,-101.831600
64083,65595,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,12,2022,TS,44.953000,-95.697000
64366,65675,IPP Non-CHP,148.9,148.9,148.9,Solar Photovoltaic,12,2022,U,34.943575,-118.088000
64366,65676,IPP Non-CHP,66.0,66.0,66.0,Solar Photovoltaic,12,2022,U,34.965275,-118.077300
64976,65704,IPP Non-CHP,160.0,160.0,160.0,Onshore Wind Turbine,12,2022,V,36.502658,-101.393500
64979,65725,IPP Non-CHP,70.0,70.0,70.0,Onshore Wind Turbine,12,2022,U,42.986667,-94.133610
65015,65764,IPP Non-CHP,110.0,110.0,110.0,Onshore Wind Turbine,12,2022,U,43.638056,-96.390560
65164,65982,IPP Non-CHP,2.0,2.0,2.0,Solar Photovoltaic,12,2022,V,39.299137,-76.959950
65164,65983,IPP Non-CHP,2.0,2.0,2.0,Solar Photovoltaic,12,2022,V,39.300067,-76.957130
65164,65984,IPP Non-CHP,2.0,2.0,2.0,Solar Photovoltaic,12,2022,V,39.300615,-76.960960
65190,66015,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,12,2022,V,43.981359,-95.870790
65188,66017,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,12,2022,V,44.935638,-95.374590
65225,66052,Electric Utility,101.2,101.2,101.2,Onshore Wind Turbine,12,2022,V,42.101642,-77.701110
65288,66125,IPP Non-CHP,100.0,100.0,100.0,Solar Photovoltaic,12,2022,L,32.755900,-111.554800
1871,1966,Electric Utility,1.8,1.8,1.8,Petroleum Liquids,1,2023,U,43.866000,-93.050400
6541,10554,Industrial CHP,40.0,38.0,40.0,Natural Gas Fired Combined Cycle,1,2023,TS,28.691700,-96.541700
6541,10554,Industrial CHP,102.0,97.0,102.0,Natural Gas Fired Combined Cycle,1,2023,TS,28.691700,-96.541700
