Entity ID,Plant ID,Sector,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Planned Operation Month,Planned Operation Year,Status,Latitude,Longitude
64087,64529,IPP Non-CHP,50.0,50.0,50.0,Batteries,12,2023,V,33.418888,-88.618880
64087,64529,IPP Non-CHP,200.0,200.0,200.0,Solar Photovoltaic,12,2023,V,33.418888,-88.618880
64364,64851,IPP Non-CHP,131.0,131.0,131.0,Batteries,12,2023,V,34.860918,-116.855300
64364,64851,IPP Non-CHP,182.0,182.0,182.0,Solar Photovoltaic,12,2023,V,34.860918,-116.855300
64527,65156,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,12,2023,V,44.492092,-75.244800
64581,65290,IPP Non-CHP,74.9,74.9,74.9,Solar Photovoltaic,12,2023,U,27.751700,-81.862900
64582,65291,IPP Non-CHP,50.0,50.0,50.0,Batteries,12,2023,V,33.415500,-88.622300
64582,65291,IPP Non-CHP,150.0,150.0,150.0,Solar Photovoltaic,12,2023,V,33.415500,-88.622300
64583,65292,IPP Non-CHP,74.9,74.9,74.9,Solar Photovoltaic,12,2023,U,29.741180,-81.698860
64584,65293,IPP Non-CHP,96.0,96.0,96.0,Solar Photovoltaic,12,2023,T,31.439500,-89.484600
61610,65826,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,12,2023,V,42.113052,-76.178060
64801,65956,IPP Non-CHP,88.0,88.0,88.0,Solar Photovoltaic,12,2023,V,32.888200,-111.497800
65277,66115,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,12,2023,V,37.453830,-77.956820
65277,66116,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,12,2023,V,37.481141,-77.967890
65277,66117,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,12,2023,V,37.999970,-79.568740
65277,66118,IPP Non-CHP,3.2,3.2,3.2,Solar Photovoltaic,12,2023,V,37.229858,-78.271290
65277,66119,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,12,2023,V,37.528850,-77.959770
65277,66120,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,12,2023,V,37.090280,-77.483460
65277,66121,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,12,2023,V,37.183780,-78.814150
65277,66122,IPP Non-CHP,3.2,3.2,3.2,Solar Photovoltaic,12,2023,V,37.056220,-79.305100
65560,66512,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,12,2023,V,44.328818,-69.819610
65577,66530,IPP Non-CHP,4.4,4.4,4.4,Solar Photovoltaic,12,2023,TS,44.678878,-74.964070
65771,66816,IPP Non-CHP,4.3,4.3,4.3,Solar Photovoltaic,12,2023,V,42.839490,-73.932560
65930,67004,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,12,2023,T,45.440800,-94.003250
24205,54374,Industrial CHP,2.2,2.2,2.2,Natural Gas Internal Combustion Engine,1,2024,TS,41.779520,-107.109700
58939,59118,IPP Non-CHP,24.0,24.0,24.0,Batteries,1,2024,U,26.195278,-97.466110
59967,60192,IPP CHP,2.0,2.0,2.0,Other Waste Biomass,1,2024,V,37.231531,-119.494300
61153,61552,IPP Non-CHP,6.0,6.0,6.0,Batteries,1,2024,TS,39.440000,-77.450000
63883,61801,IPP Non-CHP,25.0,25.0,25.0,Batteries,1,2024,TS,37.920124,-121.239200
62091,62588,IPP Non-CHP,2.8,2.8,2.8,Other Natural Gas,1,2024,TS,41.325000,-73.099170
62091,62588,IPP Non-CHP,2.8,2.8,2.8,Other Natural Gas,1,2024,TS,41.325000,-73.099170
62091,62588,IPP Non-CHP,2.8,2.8,2.8,Other Natural Gas,1,2024,TS,41.325000,-73.099170
62091,62588,IPP Non-CHP,2.8,2.8,2.8,Other Natural Gas,1,2024,TS,41.325000,-73.099170
62091,62588,IPP Non-CHP,2.8,2.8,2.8,Other Natural Gas,1,2024,TS,41.325000,-73.099170
62921,63172,IPP Non-CHP,300.0,300.0,300.0,Solar Photovoltaic,1,2024,TS,35.970349,-107.563100
11806,63559,Electric Utility,65.0,57.0,59.0,Natural Gas Fired Combustion Turbine,1,2024,TS,42.543420,-70.927970
63639,63983,IPP Non-CHP,80.0,80.0,80.0,Solar Photovoltaic,1,2024,V,41.636280,-112.444100
63784,64164,IPP Non-CHP,120.0,120.0,120.0,Batteries,1,2024,TS,33.190200,-99.259800
56215,64202,IPP Non-CHP,80.0,80.0,80.0,Batteries,1,2024,V,29.894053,-97.270540
56215,64202,IPP Non-CHP,200.0,200.0,200.0,Solar Photovoltaic,1,2024,V,29.894053,-97.270540
65060,64259,IPP Non-CHP,100.0,100.0,100.0,Solar Photovoltaic,1,2024,TS,31.346717,-97.082770
65061,64260,IPP Non-CHP,100.0,100.0,100.0,Solar Photovoltaic,1,2024,TS,31.346717,-97.082770
64178,64544,IPP Non-CHP,148.0,148.0,148.0,Onshore Wind Turbine,1,2024,TS,32.307000,-99.165000
64179,64545,IPP Non-CHP,73.0,73.0,73.0,Batteries,1,2024,TS,32.306660,-99.164600
61012,64656,IPP Non-CHP,12.5,12.5,12.5,Batteries,1,2024,V,21.372000,-158.062000
61012,64656,IPP Non-CHP,12.5,12.5,12.5,Solar Photovoltaic,1,2024,V,21.372000,-158.062000
62836,64707,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2024,V,41.705960,-70.886350
63359,64728,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2024,U,45.467562,-94.398160
64358,64853,IPP Non-CHP,65.0,65.0,65.0,Solar Photovoltaic,1,2024,V,39.071830,-83.796110
3046,64882,Electric Utility,5.0,5.0,5.0,Solar Photovoltaic,1,2024,V,35.660109,-82.598380
64446,65014,IPP Non-CHP,2.5,2.5,2.5,Batteries,1,2024,U,41.688722,-70.477480
64484,65067,IPP Non-CHP,3.3,3.3,3.3,Solar Photovoltaic,1,2024,V,44.424108,-75.379190
62842,65077,IPP Non-CHP,20.0,20.0,20.0,Solar Photovoltaic,1,2024,TS,39.937270,-76.770970
62842,65080,IPP Non-CHP,20.0,20.0,20.0,Solar Photovoltaic,1,2024,TS,40.560800,-77.378500
64511,65101,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2024,TS,45.394981,-92.806870
62856,65104,IPP Non-CHP,2.0,2.0,2.0,Solar Photovoltaic,1,2024,U,35.582000,-116.924000
62856,65105,IPP Non-CHP,4.0,4.0,4.0,Solar Photovoltaic,1,2024,U,35.113500,-118.569000
59254,65142,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,1,2024,V,41.727627,-71.288490
64530,65158,IPP Non-CHP,4.0,4.0,4.0,Solar Photovoltaic,1,2024,V,44.360089,-75.427470
64516,65164,IPP Non-CHP,3.9,3.9,3.9,Solar Photovoltaic,1,2024,V,41.760000,-92.720000
64740,65397,IPP Non-CHP,30.0,30.0,30.0,Batteries,1,2024,V,34.357160,-119.055000
62842,65402,IPP Non-CHP,107.0,107.0,107.0,Solar Photovoltaic,1,2024,TS,41.672106,-84.306450
